"number","type","blockfloor","blockcode","unavailable"
101,"Single",1,1,False
102,"Single",1,1,False
103,"Single",1,1,False
111,"Single",1,2,False
112,"Single",1,2,True
113,"Single",1,2,False
121,"Single",1,3,False
122,"Single",1,3,False
123,"Single",1,3,False
201,"Single",2,1,True
202,"Single",2,1,False
203,"Single",2,1,False
211,"Single",2,2,False
212,"Single",2,2,False
213,"Single",2,2,True
221,"Single",2,3,False
222,"Single",2,3,False
223,"Single",2,3,False
301,"Single",3,1,False
302,"Single",3,1,True
303,"Single",3,1,False
311,"Single",3,2,False
312,"Single",3,2,False
313,"Single",3,2,False
321,"Single",3,3,False
322,"Single",3,3,False
323,"Single",3,3,False
401,"Single",4,1,False
402,"Single",4,1,True
403,"Single",4,1,False
411,"Single",4,2,False
412,"Single",4,2,False
413,"Single",4,2,False
421,"Single",4,3,True
422,"Single",4,3,False
423,"Single",4,3,False
